Packet Size,Protocol,Source IP,Destination IP,Flags,Timestamp,Frequency
66,6,218.225.90.16,16.48.144.217,A,1524142800.000076,1834.862385321100917431192661
66,6,122.24.234.181,64.5.155.233,A,1524142800.000085,1834.862385321100917431192661
54,6,70.243.78.224,244.157.50.168,PA,1524142800.000089,1834.862385321100917431192661
42,17,152.175.76.38,207.183.242.66,,1524142800.000089,1834.862385321100917431192661
42,17,237.241.135.115,194.78.246.99,,1524142800.000089,1834.862385321100917431192661
66,6,75.225.35.232,64.5.155.132,A,1524142800.000095,1834.862385321100917431192661
42,17,137.227.110.193,231.225.123.91,,1524142800.000096,1834.862385321100917431192661
66,6,47.100.68.26,237.42.73.95,A,1524142800.000103,1834.862385321100917431192661
54,6,197.202.24.164,205.195.153.178,A,1524142800.000104,49541.28440366972477064220183
66,6,44.25.10.21,237.42.73.102,A,1524142800.000106,1834.862385321100917431192661
42,17,146.136.160.30,212.232.224.18,,1524142800.000106,1834.862385321100917431192661
42,17,105.182.218.216,207.8.46.254,,1524142800.000107,1834.862385321100917431192661
54,6,197.202.24.164,205.195.153.178,A,1524142800.000109,49541.28440366972477064220183
42,17,86.106.216.49,205.218.203.95,,1524142800.00011,1834.862385321100917431192661
54,6,197.202.24.164,205.195.153.178,A,1524142800.000111,49541.28440366972477064220183
54,6,231.148.130.184,205.211.43.10,A,1524142800.000112,1834.862385321100917431192661
54,6,197.202.24.164,205.195.153.178,A,1524142800.000113,49541.28440366972477064220183
66,6,47.1.184.174,244.31.10.13,A,1524142800.000123,1834.862385321100917431192661
42,17,146.17.19.50,231.225.123.76,,1524142800.000124,1834.862385321100917431192661
66,6,58.42.62.186,199.152.106.110,FA,1524142800.000126,1834.862385321100917431192661
66,6,76.83.248.154,198.243.171.232,A,1524142800.000128,3669.724770642201834862385321
66,6,127.35.87.171,139.113.197.74,A,1524142800.000129,1834.862385321100917431192661
42,17,135.240.38.80,205.139.238.234,,1524142800.00013,1834.862385321100917431192661
54,6,201.27.51.243,122.195.111.160,R,1524142800.000136,3669.724770642201834862385321
54,6,201.27.51.243,122.195.111.160,R,1524142800.000136,3669.724770642201834862385321
54,6,75.150.190.253,192.31.17.96,A,1524142800.000137,3669.724770642201834862385321
54,6,197.202.24.164,205.195.153.178,A,1524142800.000138,49541.28440366972477064220183
54,6,197.202.24.164,205.195.153.178,A,1524142800.000141,49541.28440366972477064220183
54,6,197.202.24.164,205.195.153.178,A,1524142800.000143,49541.28440366972477064220183
54,6,197.202.24.164,205.195.153.178,A,1524142800.000145,49541.28440366972477064220183
42,17,42.91.173.163,192.31.4.45,,1524142800.000149,9174.311926605504587155963303
42,17,130.150.167.219,205.211.122.25,,1524142800.000153,1834.862385321100917431192661
66,6,76.83.248.154,198.243.171.232,A,1524142800.000153,3669.724770642201834862385321
42,17,49.105.203.58,205.203.30.15,,1524142800.000154,1834.862385321100917431192661
66,6,196.42.218.216,116.246.215.69,A,1524142800.000156,1834.862385321100917431192661
66,6,44.16.207.1,205.187.184.146,A,1524142800.000161,1834.862385321100917431192661
66,6,134.164.179.107,237.42.73.92,A,1524142800.000164,1834.862385321100917431192661
66,6,237.42.90.148,237.42.73.99,A,1524142800.000164,1834.862385321100917431192661
54,6,238.63.96.186,199.204.103.112,S,1524142800.000165,1834.862385321100917431192661
66,6,47.100.158.133,237.42.73.100,A,1524142800.000178,1834.862385321100917431192661
66,6,124.101.52.194,135.79.171.145,PA,1524142800.000183,1834.862385321100917431192661
66,6,245.98.37.45,205.200.149.26,A,1524142800.000183,12844.03669724770642201834862
66,6,245.98.37.45,205.200.149.26,A,1524142800.000186,12844.03669724770642201834862
54,6,21.114.183.6,212.30.194.158,A,1524142800.000192,1834.862385321100917431192661
66,6,47.171.25.242,244.205.153.149,PA,1524142800.000193,3669.724770642201834862385321
54,6,223.80.90.117,199.136.6.90,A,1524142800.000199,3669.724770642201834862385321
54,6,231.148.132.151,212.195.130.168,A,1524142800.0002,1834.862385321100917431192661
66,6,153.146.131.107,50.122.229.67,PA,1524142800.0002,1834.862385321100917431192661
54,6,25.202.32.147,244.22.61.180,A,1524142800.0002,1834.862385321100917431192661
66,6,47.171.25.242,244.205.153.149,PA,1524142800.0002,3669.724770642201834862385321
66,6,73.155.112.254,244.89.100.222,PA,1524142800.000203,1834.862385321100917431192661
54,6,223.80.90.117,199.136.6.90,A,1524142800.000211,3669.724770642201834862385321
54,6,122.144.3.55,207.183.249.18,PA,1524142800.000213,1834.862385321100917431192661
54,6,197.202.24.164,205.195.153.178,A,1524142800.000216,49541.28440366972477064220183
54,6,73.5.114.209,138.152.125.118,RA,1524142800.000217,1834.862385321100917431192661
54,6,197.202.24.164,205.195.153.178,A,1524142800.000217,49541.28440366972477064220183
54,6,197.202.24.164,205.195.153.178,A,1524142800.000218,49541.28440366972477064220183
54,6,124.101.48.155,192.182.224.12,A,1524142800.00022,3669.724770642201834862385321
54,6,57.184.217.39,198.253.207.66,RA,1524142800.000221,1834.862385321100917431192661
54,6,197.202.24.164,205.195.153.178,A,1524142800.000221,49541.28440366972477064220183
66,6,223.7.30.181,237.42.73.107,A,1524142800.000223,1834.862385321100917431192661
66,6,218.225.236.252,16.48.144.209,PA,1524142800.000225,3669.724770642201834862385321
54,6,202.102.7.102,16.230.172.180,A,1524142800.000227,3669.724770642201834862385321
54,6,124.101.48.155,192.182.224.12,A,1524142800.000234,3669.724770642201834862385321
66,6,44.0.201.196,237.42.73.97,A,1524142800.000237,7339.449541284403669724770642
54,6,100.238.146.174,192.135.10.27,PA,1524142800.000241,1834.862385321100917431192661
66,6,44.0.201.196,237.42.73.97,A,1524142800.000244,7339.449541284403669724770642
54,6,231.128.51.157,192.182.21.179,R,1524142800.000246,1834.862385321100917431192661
66,6,124.101.52.195,135.79.171.145,PA,1524142800.000246,1834.862385321100917431192661
42,17,127.101.14.197,50.123.138.100,,1524142800.000248,1834.862385321100917431192661
54,6,2.2.132.227,205.112.117.124,PA,1524142800.000252,1834.862385321100917431192661
66,6,245.98.37.45,205.200.149.26,A,1524142800.000253,12844.03669724770642201834862
66,6,245.98.37.45,205.200.149.26,A,1524142800.000254,12844.03669724770642201834862
66,6,62.199.26.173,199.137.226.175,A,1524142800.000255,1834.862385321100917431192661
42,17,249.70.79.98,244.157.200.6,,1524142800.000262,1834.862385321100917431192661
42,17,139.248.44.144,199.153.100.96,,1524142800.000263,1834.862385321100917431192661
42,17,122.140.16.251,231.225.123.74,,1524142800.000264,3669.724770642201834862385321
54,6,249.158.178.51,198.255.109.218,A,1524142800.000264,1834.862385321100917431192661
66,6,134.164.179.104,237.42.73.104,A,1524142800.000265,3669.724770642201834862385321
66,6,245.98.37.45,205.200.149.26,A,1524142800.00027,12844.03669724770642201834862
54,6,202.102.7.102,16.230.172.180,A,1524142800.000272,3669.724770642201834862385321
54,6,104.191.114.204,199.204.111.101,PA,1524142800.000272,1834.862385321100917431192661
66,6,245.98.37.45,205.200.149.26,A,1524142800.000274,12844.03669724770642201834862
74,6,48.213.31.176,215.255.51.45,SA,1524142800.000275,1834.862385321100917431192661
42,17,16.48.150.181,64.5.155.175,,1524142800.000278,1834.862385321100917431192661
54,6,202.109.118.179,64.5.155.98,A,1524142800.000278,1834.862385321100917431192661
66,6,245.98.37.45,205.200.149.26,FA,1524142800.000281,12844.03669724770642201834862
66,6,44.0.201.196,237.42.73.97,A,1524142800.000283,7339.449541284403669724770642
66,6,44.0.201.196,237.42.73.97,PA,1524142800.000284,7339.449541284403669724770642
54,6,112.81.188.215,199.137.238.162,PA,1524142800.000288,1834.862385321100917431192661
66,6,27.116.193.151,116.246.215.94,PA,1524142800.00029,1834.862385321100917431192661
54,6,233.110.33.228,212.171.83.145,A,1524142800.00029,1834.862385321100917431192661
42,17,251.156.44.74,197.18.21.24,,1524142800.000294,1834.862385321100917431192661
66,6,44.26.241.102,237.42.73.99,A,1524142800.000298,3669.724770642201834862385321
66,6,122.67.118.172,16.233.86.149,FA,1524142800.000299,1834.862385321100917431192661
54,6,70.243.79.58,212.197.45.77,PA,1524142800.000304,1834.862385321100917431192661
66,6,218.225.253.43,64.5.155.103,A,1524142800.000304,3669.724770642201834862385321
66,6,47.11.174.45,237.42.73.99,A,1524142800.000305,11009.17431192660550458715596
54,6,103.195.3.175,215.7.175.13,A,1524142800.000307,1834.862385321100917431192661
66,6,47.11.174.45,237.42.73.99,A,1524142800.000307,11009.17431192660550458715596
66,6,218.225.253.43,64.5.155.103,PA,1524142800.000308,3669.724770642201834862385321
54,6,232.195.121.4,199.136.2.45,A,1524142800.00031,3669.724770642201834862385321
54,6,232.195.121.4,199.136.2.45,A,1524142800.000312,3669.724770642201834862385321
66,6,44.26.241.102,237.42.73.99,PA,1524142800.000313,3669.724770642201834862385321
